ACTI.ST	Active Biotech
ADDT-B.ST	Addtech B
Arcm.ST	Arcam AB
AZA.ST	Avanza Bank Holding
BBTO-B.ST	B&B TOOLS B
BACTI-B.ST	Bactiguard Holding AB
BEIA-B.ST	Beijer Alma B
BEIJ-B.ST	Beijer AB, G & L ser. B
BILI-A.ST	Bilia A
BIOG-B.ST	BioGaia B
PXXS-SDB.ST	BlackPearl Resources SDB
BUFAB.ST	Bufab Holding AB
BURE.ST	Bure Equity
BMAX.ST	Byggmax Group
CATE.ST	Catena AB
CCC.ST	Cavotec SA
CLAS-B.ST	Clas Ohlson B
CLA-B.ST	Cloetta B
COIC.ST	Concentric
CORE.ST	Corem Property Group AB
CRED-A.ST	Creades A
DIOS.ST	Diös Fastigheter
DUNI.ST	Duni
DUST.ST	Dustin Group
ECEX.ST	East Capital Explorer
ELTEL.ST	Eltel
ENRO.ST	Eniro
FAG.ST	Fagerhult, AB
FPAR.ST	Fast Partner
FIX-B.ST	Fenix Outdoor B
FING-B.ST	Fingerprint Cards B
GRNG.ST	Gränges
GUNN.ST	Gunnebo
HLDX.ST	Haldex
HEBA-B.ST	FAST. HEBA B
HEMF.ST	Hemfosa Fastigheter
HIQ.ST	HiQ International
HMS.ST	HMS Networks
HOFI.ST	Hoist Finance
IFS-A.ST	A Industrial & Financial Sys AB
IFS-B.ST	B Industrial & Financial Sys AB
INWI.ST	Inwido
ITAB-B.ST	ITAB Shop Concept B
KAHL.ST	KappAhl
KLOV-A.ST	Klövern A
KLOV-B.ST	Klövern B
KLED.ST	Kungsleden
LAGRB.ST	Lagercrantz Group B
LIAB.ST	Lindab International
LUC.ST	Lucara Diamond Corp
LUG.ST	Lundin Gold
MVIR-B.ST	Medivir B
MEKO.ST	Mekonomen
MUNK1S.ST	Munksjö Oyj
43720.ST	MYCRONIC
NMAN.ST	Nederman Holding
NET-B.ST	Net Entertainment NE B
NEWA-B.ST	New Wave B
NOLA-B.ST	Nolato B
NN-B.ST	Nordnet B
NP3.ST	NP3 Fastigheter
OASM.ST	Oasmia Pharmaceutical
OEM-B.ST	OEM International B
OPUS.ST	Opus Group
ORX.ST	Orexo
PLAZ-B.ST	Platzer Fastigheter Holding B 
PROE-B.ST	Proffice B
CDON.ST	Qliro Group,(CDON)
RECI-B.ST	Recipharm
REZT.ST	Rezidor Hotel Group
SAGA-A.ST	Sagax A
SAGA-B.ST	Sagax B
SAS.ST	SAS
Scandi Standard	SCST.ST
SECTRA B	SECT-B.ST
Semafo	SMF.ST
SKIS-B.ST	SkiStar B
SWEC-A.ST	SWECO A
SWEC-B.ST	SWECO B
SWOL-B.ST	Swedol B
SYSR.ST	Systemair
TETY.ST	Tethys Oil
THULE.ST	Thule Group
TOBII.ST	 Tobii
TWW.ST	Transcom WorldWide
TRMO.ST	Transmode
TRI.ST	 Tribona
TROAX.ST	Troax Group
UNIB-SDB.ST	Unibet Group
VBG-B.ST	VBG GROUP B
VICP-A.ST	Victoria Park A
VICP-B.ST	Victoria Park B
VITR.ST	Vitrolife
VNIL-SDB.ST	Vostok Nafta Investment, SDB
WIHL.ST	Wihlborgs Fastigheter
AF-B.ST	ÅF B
ORES.ST	Öresund


AERO-B.ST	Aerocrine B
BEF-SDB.ST	Black Earth Farming
NOBI.ST	Nobia
CORE.ST	Corem Property Group
CORE-PREF.ST	Corem Property Group Pref
ENQ.ST	EnQuest PLC
BALD-B.ST	Fast. Balder B
TRI.ST	Tribona
JM.ST	JM
BETS-B.ST	Betsson B
LOOM-B.ST	Loomis B
IJ.ST	Intrum Justitia
INDT.ST	Indutrade
HPOL-B.ST	HEXPOL B
SOBI.ST	Swedish Orphan Biovitrum
AAK.ST	AarhusKarlshamn
SECT-B.ST	SECTRA B
GUNN.ST	Gunnebo
SNTC.ST	Sanitec Oyj

